scheme_code,scheme_name,date,nav,plan_type
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2022-05-10,11.21,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2022-05-11,11.18,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2022-05-12,10.97,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2022-05-13,11.01,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2022-05-16,11.1,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2022-05-17,11.33,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2022-05-18,11.31,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2022-05-19,11.03,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2022-05-20,11.29,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2022-05-23,11.29,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2022-05-24,11.2,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2022-05-25,11.04,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2022-05-26,11.15,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2022-05-27,11.29,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2022-05-30,11.56,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2022-05-31,11.57,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2022-06-01,11.55,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2022-06-02,11.62,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2022-06-03,11.55,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2022-06-06,11.49,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2022-06-07,11.39,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2022-06-08,11.34,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2022-06-09,11.41,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2022-06-10,11.3,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2022-06-13,11.02,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2022-06-14,11.0,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2022-06-15,11.02,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2022-06-16,10.79,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2022-06-17,10.75,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2022-06-20,10.67,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2022-06-21,10.89,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2022-06-22,10.77,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2022-06-23,10.89,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2022-06-24,11.01,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2022-06-27,11.1,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2022-06-28,11.09,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2022-06-29,11.06,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2022-06-30,11.06,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2022-07-01,11.08,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2022-07-04,11.14,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2022-07-05,11.12,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2022-07-06,11.25,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2022-07-07,11.37,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2022-07-08,11.43,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2022-07-11,11.46,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2022-07-12,11.38,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2022-07-13,11.37,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2022-07-14,11.35,Regular
